slug,filters,blocks,description,simd_aligned,params,fp32_acc_pct,fp32_size_kb,ptq_acc_pct,ptq_size_kb,qat_acc_pct,qat_size_kb,train_date_utc,updated_utc,int8_acc_pct,int8_size_kb,quant
f56_b4,56,4,ss depth=4,True,19500,94.10207029369283,191.1826171875,93.9817043813192,37.15625,93.9817043813192,37.8046875,2026-05-17T10:43:00+00:00,2026-05-17T10:46:51.950858+00:00,,,
f56_b5,56,5,ss depth=5,True,23588,93.7650457390467,227.4609375,93.69282619162253,44.75,94.19836302359171,45.5859375,2026-05-17T10:51:41+00:00,2026-05-17T10:55:48.593218+00:00,,,
f56_b6,56,6,ss depth=6,True,27676,94.02985074626866,264.4267578125,93.8613384689456,52.34375,94.36687530091477,53.3671875,2026-05-17T11:00:27+00:00,2026-05-17T11:04:59.862320+00:00,,,
f64_b3,64,3,s depth=3,True,19148,93.52431391429947,169.177734375,93.59653346172364,34.5234375,93.9817043813192,34.984375,2026-05-17T09:50:53+00:00,2026-05-17T09:53:50.555534+00:00,,,
f64_b4,64,4,s depth=4,True,24332,93.47616754935002,210.0576171875,93.21136254212807,43.5625,93.9817043813192,44.2109375,2026-05-17T09:57:46+00:00,2026-05-17T10:04:15.420654+00:00,,,
f64_b5,64,5,s depth=5,True,29516,95.08907077515649,250.6171875,94.8001925854598,52.6015625,94.7038998555609,53.4375,2026-05-17T10:11:49+00:00,2026-05-17T10:18:17.204889+00:00,,,
f64_b6,64,6,"small, aligned",True,34700,94.92055849783341,291.8642578125,94.89648531535869,61.640625,94.46316803081368,62.8828125,,2026-05-17T09:06:21.665006+00:00,,,
f64_b6_qat,64,6,"small, aligned",True,34700,94.92055849783341,291.8642578125,,,,,2026-05-16T11:04:51+00:00,,94.46316803081368,62.8828125,qat
f64_b7,64,7,s deep,True,39884,95.35387578237842,333.384765625,95.1131439576312,70.6796875,95.0168512277323,71.890625,2026-05-17T09:53:35+00:00,2026-05-17T09:57:31.473181+00:00,,,
f64_b8,64,8,s very deep,True,45068,95.35387578237842,374.2646484375,95.04092441020703,79.71875,95.35387578237842,81.1171875,2026-05-17T10:01:34+00:00,2026-05-17T10:05:50.204525+00:00,,,
f72_b4,72,4,ss-mid depth=4,True,29676,94.8001925854598,230.9326171875,94.67982667308618,50.46875,94.89648531535869,51.1171875,2026-05-17T11:09:05+00:00,2026-05-17T11:13:00.225768+00:00,,,
f72_b5,72,5,ss-mid depth=5,True,36084,94.77611940298507,276.2734375,94.72797303803563,61.078125,94.94463168030813,61.9140625,2026-05-17T11:17:22+00:00,2026-05-17T11:21:29.116566+00:00,,,
f72_b6,72,6,ss-mid depth=6,True,42492,95.06499759268175,322.3017578125,94.67982667308618,71.6875,95.1131439576312,72.7109375,2026-05-17T11:26:07+00:00,2026-05-17T11:30:36.773586+00:00,,,
f80_b4,80,4,s-mid depth=4,True,35532,95.04092441020703,253.8076171875,94.99277804525758,57.875,95.04092441020703,58.5234375,2026-05-17T10:25:48+00:00,2026-05-17T10:31:22.020372+00:00,,,
f80_b5,80,5,s-mid depth=5,True,43292,95.04092441020703,304.4296875,95.08907077515649,70.1796875,95.16129032258065,71.015625,2026-05-17T10:38:36+00:00,2026-05-17T10:44:52.388640+00:00,,,
f80_b6,80,6,s-mid depth=6,True,51052,95.20943668753009,355.7392578125,95.45016851227732,82.484375,95.13721714010592,83.5078125,2026-05-17T10:53:11+00:00,2026-05-17T11:00:41.003137+00:00,,,
f88_b4,88,4,mmid depth=4,True,41900,94.99277804525758,278.6826171875,94.77611940298507,65.78125,94.89648531535869,66.4296875,2026-05-17T11:35:22+00:00,2026-05-17T11:39:08.512120+00:00,,,
f88_b5,88,5,mmid depth=5,True,51140,95.49831487722676,335.0859375,95.18536350505536,79.90625,94.99277804525758,80.7421875,2026-05-17T11:43:37+00:00,2026-05-17T11:47:56.165293+00:00,,,
f88_b6,88,6,mmid depth=6,True,60380,95.66682715454982,392.1767578125,95.66682715454982,94.03125,95.59460760712565,95.0546875,2026-05-17T11:52:36+00:00,2026-05-17T11:57:11.041839+00:00,,,
f96_b3,96,3,mid depth=3,True,37932,95.0168512277323,242.552734375,94.87241213288397,58.1171875,94.63168030813674,58.578125,2026-05-17T11:07:41+00:00,2026-05-17T11:12:34.126884+00:00,,,
f96_b4,96,4,mid depth=4,True,48780,95.04092441020703,305.5576171875,94.8001925854598,74.1875,95.23350987000482,74.8359375,2026-05-17T13:02:37+00:00,2026-05-17T13:06:21.967982+00:00,,,
f96_b5,96,5,mid depth=5,True,59628,95.37794896485316,368.2421875,95.32980259990372,90.2578125,95.25758305247953,91.09375,2026-05-17T13:10:36+00:00,2026-05-17T13:14:46.234343+00:00,,,
f96_b6,96,6,"small-mid, aligned",True,70476,95.47424169475205,431.6142578125,95.49831487722676,107.3671875,95.20943668753009,107.5703125,,,,,
f96_b6_ptq,96,6,PTQ on small model,True,70476,95.47424169475205,431.6142578125,,,,,2026-05-16T11:58:40+00:00,,95.49831487722676,107.3671875,ptq
f96_b6_qat,96,6,"small-mid, aligned",True,70476,95.47424169475205,431.6142578125,,,,,2026-05-16T11:09:07+00:00,,95.20943668753009,107.5703125,qat
