slug,filters,blocks,description,simd_aligned,params,fp32_acc_pct,fp32_size_kb,ptq_acc_pct,ptq_size_kb,qat_acc_pct,qat_size_kb,int8_acc_pct,int8_size_kb,quant,train_date_utc,updated_utc,_source
f176_b4,176,4,shallow,True,145740,96.1482908040443,684.3583984375,95.88348579682234,185.75,95.739046701974,186.5859375,95.739046701974,186.5859375,qat,2026-05-16T12:24:44+00:00,2026-05-17T09:09:09.538534+00:00,"orig,p3,p4"
f176_b5,176,5,medium-shallow,True,179708,96.17236398651902,837.3662109375,95.95570534424652,228.1484375,96.02792489167068,229.2109375,96.02792489167068,229.2109375,qat,2026-05-16T12:29:46+00:00,2026-05-17T09:09:32.248984+00:00,"orig,p3,p4"
f176_b6,176,6,"aligned, just above baseline",True,213676,96.2445835339432,991.0615234375,95.57053442465094,271.5859375,96.19643716899374,271.8359375,96.19643716899374,271.5859375,ptq,2026-05-16T12:10:11+00:00,,"orig,p3,p4"
f176_b7,176,7,deep,True,247644,96.17236398651902,1145.0302734375,96.07607125662012,312.9453125,96.29272989889265,314.4609375,96.29272989889265,314.4609375,qat,2026-05-16T12:35:59+00:00,2026-05-17T09:09:58.692658+00:00,"orig,p3,p4"
f176_b8,176,8,very deep,True,281612,96.29272989889265,1298.3583984375,96.07607125662012,355.34375,96.07607125662012,357.0859375,96.07607125662012,357.0859375,qat,2026-05-16T12:42:37+00:00,2026-05-17T09:10:27.119276+00:00,"orig,p3,p4"
f184_b3,184,3,patch f184 b3,True,121268,95.59460760712564,568.1240234375,95.47424169475204,153.9375,,,,,,2026-05-18T20:44:47+00:00,2026-05-18T20:45:06.620013+00:00,p1
f184_b4,184,4,patch f184 b4,True,158252,95.95570534424652,733.2333984375,95.64275397207513,199.65625,,,,,,2026-05-18T20:41:56+00:00,2026-05-18T20:42:17.007265+00:00,p4
f184_b5,184,5,patch f184 b5,True,195236,96.41309581126625,898.0224609375,96.07607125662012,245.375,,,,,,2026-05-18T20:49:49+00:00,2026-05-18T20:50:11.071548+00:00,p1
f184_b6,184,6,"aligned, above baseline",True,232220,95.88348579682234,1063.4990234375,95.59460760712564,291.09375,95.76311988444871,292.3828125,95.76311988444871,292.3828125,qat,2026-05-16T11:41:36+00:00,2026-05-17T09:08:00.166094+00:00,"orig,p3,p4"
f184_b7,184,7,patch f184 b7,True,269204,96.1482908040443,1229.2490234375,95.88348579682234,336.8125,,,,,,2026-05-18T20:59:36+00:00,2026-05-18T21:00:00.968782+00:00,p2
f184_b8,184,8,patch f184 b8,True,306188,96.3649494463168,1394.3583984375,96.19643716899374,382.53125,,,,,,2026-05-18T20:56:58+00:00,2026-05-18T20:57:25.436042+00:00,p1
f192_b2,192,2,patch f192 b2,True,91020,95.23350987000482,428.6474609375,95.06499759268176,115.734375,,,,,,2026-05-18T20:45:50+00:00,2026-05-18T20:46:06.893867+00:00,p4
f192_b3,192,3,patch f192 b3,True,131148,95.8353394318729,606.7177734375,95.78719306692344,164.8984375,,,,,,2026-05-18T20:55:30+00:00,2026-05-18T20:55:49.572832+00:00,p3
f192_b4,192,4,xl shallow,True,171276,95.739046701974,784.1083984375,95.66682715454982,214.0625,95.49831487722676,214.7578125,,,,2026-05-17T10:46:19+00:00,2026-05-17T10:50:38.432350+00:00,"orig,p4"
f192_b5,192,5,patch f192 b5,True,211404,96.1482908040443,961.1787109375,95.81126624939816,263.2265625,,,,,,2026-05-18T21:02:28+00:00,2026-05-18T21:02:51.228346+00:00,p1
f192_b6,192,6,"aligned, above baseline",True,251532,96.02792489167068,1138.9365234375,95.90755897929706,313.4296875,96.12421762156956,313.6796875,96.12421762156956,313.4296875,ptq,2026-05-16T12:16:42+00:00,,"orig,p3,p4"
f192_b7,192,7,patch f192 b7,True,291660,96.07607125662012,1316.9677734375,95.9316321617718,361.5546875,,,,,,2026-05-18T21:02:02+00:00,2026-05-18T21:02:27.970007+00:00,p3
f192_b8,192,8,xl very deep,True,331788,96.17236398651902,1494.3583984375,95.90755897929706,410.71875,96.2445835339432,412.1953125,,,,2026-05-17T10:57:40+00:00,2026-05-17T11:04:43.169336+00:00,"orig,p4"
f224_b2,224,2,patch f224 b2,True,120524,95.305729417429,543.8974609375,95.37794896485316,148.296875,,,,,,2026-05-18T20:49:34+00:00,2026-05-18T20:49:50.830639+00:00,p4
f224_b3,224,3,patch f224 b3,True,174508,96.00385170919596,776.0927734375,95.81126624939816,212.4921875,,,,,,2026-05-18T20:53:53+00:00,2026-05-18T20:54:12.728126+00:00,p4
f224_b4,224,4,xxl shallow,True,228492,95.9316321617718,1007.6083984375,95.9316321617718,276.6875,95.97977852672123,277.3828125,,,,2026-05-17T12:36:09+00:00,2026-05-17T12:41:13.649752+00:00,"orig,p1,p4"
f224_b5,224,5,patch f224 b5,True,282476,95.71497351949928,1238.8037109375,95.85941261434762,340.8828125,,,,,,2026-05-18T21:05:48+00:00,2026-05-18T21:06:12.383083+00:00,p2
f224_b6,224,6,"large, aligned (top of range)",True,336460,95.88348579682234,1470.6865234375,95.8353394318729,405.078125,95.69090033702456,406.3671875,95.69090033702456,406.3671875,qat,2026-05-16T11:54:35+00:00,2026-05-17T09:08:29.208239+00:00,"orig,p3,p4"
f224_b7,224,7,patch f224 b7,True,390444,96.0519980741454,1702.8427734375,96.07607125662012,469.2734375,,,,,,2026-05-18T21:01:21+00:00,2026-05-18T21:01:48.806710+00:00,p4
f224_b8,224,8,xxl very deep,True,444428,96.65382763601347,1934.3583984375,96.34087626384208,533.46875,96.41309581126625,534.9453125,,,,2026-05-17T12:50:00+00:00,2026-05-17T12:58:25.617335+00:00,"orig,p1"
